"Ext","Name","SizeMB","Modified","Path"
".dll","libcef.dll","161,77","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\libcef.dll"
".aip","GenerateUI.aip","68,63","2026-07-03","Plug-ins\Illustrator UI\GenerateUI.aip"
".exe","Illustrator.exe","61,28","2026-07-04","Support Files\Contents\Windows\Illustrator.exe"
".dll","dynamic-torqnative.dll","61","2026-07-04","Support Files\Contents\Windows\dynamic-torqnative.dll"
".dll","AdobePIE.dll","59,6","2026-07-03","Support Files\Contents\Windows\AdobePIE.dll"
".dll","icudt77.dll","35,47","2026-07-03","Support Files\Contents\Windows\icudt77.dll"
".dll","adobe_c2pa.dll","31,31","2026-07-03","Support Files\Contents\Windows\adobe_c2pa.dll"
".dll","libdynamic-napi.dll","30,8","2026-07-03","Support Files\Contents\Windows\libdynamic-napi.dll"
".dll","dvaui.dll","30,09","2026-07-03","Support Files\Contents\Windows\dvaui.dll"
".dll","AIACPL.dll","27,69","2026-07-03","Support Files\Contents\Windows\AIACPL.dll"
".dll","AILib.dll","24,92","2026-07-03","Support Files\Contents\Windows\AILib.dll"
".aip","ImageSegmentation.aip","22,1","2026-07-03","Plug-ins\Extensions\ImageSegmentation.aip"
".dll","acdb25.dll","18,11","2026-07-03","Support Files\Contents\Windows\acdb25.dll"
".dll","adobeusd_sdf.dll","17,26","2026-07-03","Support Files\Contents\Windows\adobeusd_sdf.dll"
".dll","dxcompiler.dll","16,31","2026-07-03","Support Files\Contents\Windows\dxcompiler.dll"
".dll","mmsdk.dll","15,76","2026-07-03","Support Files\Contents\Windows\mmsdk.dll"
".dll","node.dll","15,13","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\node.dll"
".aip","Vectorize.aip","14,89","2026-07-03","Plug-ins\Extensions\Vectorize.aip"
".aip","ReType.aip","14,22","2026-07-03","Plug-ins\Extensions\ReType.aip"
".aip","Geometry3D.aip","13,75","2026-07-03","Plug-ins\Illustrator Filters\Geometry3D.aip"
".dll","ASMKERN230A.dll","13,7","2026-07-03","Support Files\Contents\Windows\ASMKERN230A.dll"
".dll","adobeusd_usd.dll","13,17","2026-07-03","Support Files\Contents\Windows\adobeusd_usd.dll"
".dll","AGM.dll","13,04","2026-07-03","Support Files\Contents\Windows\AGM.dll"
".dll","tsplines12.dll","12,36","2026-07-03","Support Files\Contents\Windows\tsplines12.dll"
".dll","DirectML.dll","11,61","2026-07-03","Support Files\Contents\Windows\DirectML.dll"
".8bf","Standard MultiPlugin.8BF","11,54","2026-07-03","Plug-ins\Photoshop Filters\Standard MultiPlugin.8BF"
".dll","AdobePDFL.dll","11,04","2026-07-03","Support Files\Contents\Windows\AdobePDFL.dll"
".dll","CloudAILib.dll","10,81","2026-07-03","Support Files\Contents\Windows\CloudAILib.dll"
".8bf","Filter Gallery.8bf","10,56","2026-07-03","Plug-ins\Photoshop Filters\Filter Gallery.8bf"
".dll","onnxruntime.dll","9,64","2026-07-03","Support Files\Contents\Windows\onnxruntime.dll"
".dll","AIDE.dll","9,44","2026-07-03","Support Files\Contents\Windows\AIDE.dll"
".aip","CropUI.aip","9,09","2026-07-03","Plug-ins\Illustrator UI\CropUI.aip"
".dll","AdImaging.dll","8,75","2026-07-03","Support Files\Contents\Windows\AdImaging.dll"
".aip","SketchingTools.aip","8,71","2026-07-03","Plug-ins\Tools\SketchingTools.aip"
".dll","dcu2d75.dll","8,65","2026-07-03","Support Files\Contents\Windows\dcu2d75.dll"
".dll","embree.dll","8,09","2026-07-03","Support Files\Contents\Windows\embree.dll"
".aip","CurveFittingSuite.aip","7,86","2026-07-03","Support Files\Required\Plug-ins\CurveFittingSuite.aip"
".dll","exo.dll","6,88","2026-07-03","Support Files\Contents\Windows\exo.dll"
".dll","dvaai.dll","6,56","2026-07-03","Support Files\Contents\Windows\dvaai.dll"
".aip","IllustratorUI.aip","6,33","2026-07-03","Plug-ins\Illustrator UI\IllustratorUI.aip"
".aip","SwatchLibs.aip","6,25","2026-07-03","Plug-ins\Extensions\SwatchLibs.aip"
".dll","acdbmgd.dll","6,22","2026-07-03","Support Files\Contents\Windows\acdbmgd.dll"
".dll","AdobeGrowthSDK.dll","6,16","2026-07-03","Support Files\Contents\Windows\AdobeGrowthSDK.dll"
".8bf","Standard MultiPlugin Extension.8BF","5,93","2026-07-03","Plug-ins\Photoshop Filters\Standard MultiPlugin Extension.8BF"
".dll","libGLESv2.dll","5,75","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\libGLESv2.dll"
".aip","TextModel.aip","5,44","2026-07-03","Plug-ins\Text Filters\TextModel.aip"
".dll","dvacore.dll","5,4","2026-07-03","Support Files\Contents\Windows\dvacore.dll"
".aip","ScriptingSupport.aip","5,11","2026-07-03","Plug-ins\Extensions\ScriptingSupport.aip"
".dll","SVGRE.dll","5,1","2026-07-03","Support Files\Contents\Windows\SVGRE.dll"
".dll","ASMBLND230A.dll","5,02","2026-07-03","Support Files\Contents\Windows\ASMBLND230A.dll"
".dll","libcrypto-3-x64.dll","4,97","2026-07-03","Support Files\Contents\Windows\libcrypto-3-x64.dll"
".dll","MPS.dll","4,94","2026-07-03","Support Files\Contents\Windows\MPS.dll"
".dll","ASMAHL230A.dll","4,9","2026-07-03","Support Files\Contents\Windows\ASMAHL230A.dll"
".aip","Save4Web.aip","4,85","2026-07-03","Plug-ins\Illustrator Formats\Save4Web.aip"
".exe","CEPHtmlEngine.exe","4,64","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\CEPHtmlEngine.exe"
".dll","PlugPlugOwl.dll","4,57","2026-07-03","Support Files\Contents\Windows\PlugPlugOwl.dll"
".dll","dvaadameve.dll","4,38","2026-07-03","Support Files\Contents\Windows\dvaadameve.dll"
".dll","CoolType.dll","4,3","2026-07-03","Support Files\Contents\Windows\CoolType.dll"
".dll","ASMINTR230A.dll","4,27","2026-07-03","Support Files\Contents\Windows\ASMINTR230A.dll"
".aip","ColorHarmony.aip","4,05","2026-07-03","Plug-ins\Extensions\ColorHarmony.aip"
".dll","dvauxphost.dll","3,62","2026-07-03","Support Files\Contents\Windows\dvauxphost.dll"
".dll","typequest_bravo.dll","3,52","2026-07-03","Support Files\Contents\Windows\typequest_bravo.dll"
".dll","vk_swiftshader.dll","3,51","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\vk_swiftshader.dll"
".dll","adobeusd_pcp.dll","3,47","2026-07-03","Support Files\Contents\Windows\adobeusd_pcp.dll"
".dll","AdobeOwl.dll","3,46","2026-07-03","Support Files\Contents\Windows\AdobeOwl.dll"
".dll","dvaappsupport.dll","3,44","2026-07-03","Support Files\Contents\Windows\dvaappsupport.dll"
".dll","ASMLOP230A.dll","3,36","2026-07-03","Support Files\Contents\Windows\ASMLOP230A.dll"
".aip","MCPToolkit.aip","3,27","2026-07-03","Plug-ins\Extensions\MCPToolkit.aip"
".dll","ASMUFLD230A.dll","3,1","2026-07-03","Support Files\Contents\Windows\ASMUFLD230A.dll"
".dll","icuin77.dll","3,03","2026-07-03","Support Files\Contents\Windows\icuin77.dll"
".aip","PaintStyle.aip","3,01","2026-07-03","Plug-ins\Extensions\PaintStyle.aip"
".aip","VectorEdge.aip","2,96","2026-07-03","Plug-ins\Illustrator Filters\VectorEdge.aip"
".dll","ASMSASM230A.dll","2,93","2026-07-03","Support Files\Contents\Windows\ASMSASM230A.dll"
".dll","imgproc.dll","2,92","2026-07-03","Support Files\Contents\Windows\imgproc.dll"
".dll","wrservices.dll","2,89","2026-07-03","Support Files\Contents\Windows\wrservices.dll"
".aip","AIAgenticSystem.aip","2,89","2026-07-03","Plug-ins\Extensions\AIAgenticSystem.aip"
".dll","dvaworkspace.dll","2,88","2026-07-03","Support Files\Contents\Windows\dvaworkspace.dll"
".dll","dunamis-ingest.dll","2,86","2026-07-03","Support Files\Contents\Windows\dunamis-ingest.dll"
".dll","AIUXPExtensionHostAPI.dll","2,85","2026-07-03","Support Files\Contents\Windows\AIUXPExtensionHostAPI.dll"
".dll","dvascripting.dll","2,85","2026-07-03","Support Files\Contents\Windows\dvascripting.dll"
".aip","3D.aip","2,77","2026-07-03","Plug-ins\Extensions\3D.aip"
".dll","core.dll","2,77","2026-07-03","Support Files\Contents\Windows\core.dll"
".dll","acpal.dll","2,74","2026-07-03","Support Files\Contents\Windows\acpal.dll"
".dll","dvastorage.dll","2,64","2026-07-03","Support Files\Contents\Windows\dvastorage.dll"
".dll","AITextViewModel.dll","2,64","2026-07-03","Support Files\Contents\Windows\AITextViewModel.dll"
".dll","adobeusd_usdGeom.dll","2,61","2026-07-03","Support Files\Contents\Windows\adobeusd_usdGeom.dll"
".dll","scintilla.dll","2,56","2026-07-03","Support Files\Contents\Windows\scintilla.dll"
".dll","ASMBOOL230A.dll","2,53","2026-07-03","Support Files\Contents\Windows\ASMBOOL230A.dll"
".aip","LinkPalette.aip","2,52","2026-07-03","Plug-ins\Extensions\LinkPalette.aip"
".dll","ASMSKIN230A.dll","2,51","2026-07-03","Support Files\Contents\Windows\ASMSKIN230A.dll"
".dll","ASMSWP230A.dll","2,42","2026-07-03","Support Files\Contents\Windows\ASMSWP230A.dll"
".dll","adp_core-6_1.dll","2,39","2026-07-03","Support Files\Contents\Windows\adp_core-6_1.dll"
".aip","3DLib.aip","2,36","2026-07-03","Support Files\Required\AIRobin_Plug-ins\3DLib.aip"
".dll","libGLESv2.dll","2,35","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\swiftshader\libGLESv2.dll"
".dll","dvauxpui.dll","2,35","2026-07-03","Support Files\Contents\Windows\dvauxpui.dll"
".aip","FireflyService.aip","2,28","2026-07-03","Plug-ins\Extensions\FireflyService.aip"
".dll","adobeusd_vt.dll","2,17","2026-07-03","Support Files\Contents\Windows\adobeusd_vt.dll"
".dll","VulcanControl.dll","2,07","2026-07-03","Support Files\Contents\Windows\VulcanControl.dll"
".dll","adobeusd_tf.dll","2,03","2026-07-03","Support Files\Contents\Windows\adobeusd_tf.dll"
".dll","icuuc77.dll","2,01","2026-07-03","Support Files\Contents\Windows\icuuc77.dll"
".dll","CRClient.dll","1,99","2026-07-03","Support Files\Contents\Windows\CRClient.dll"
".dll","substance_sse2_blend.dll","1,96","2026-07-03","Support Files\Contents\Windows\substance_sse2_blend.dll"
".aip","PlanetX.aip","1,96","2026-07-03","Plug-ins\Extensions\PlanetX.aip"
".aip","OnDemandModule.aip","1,93","2026-07-03","Plug-ins\Extensions\OnDemandModule.aip"
".aip","GenerativeTraceUI.aip","1,88","2026-07-03","Plug-ins\Extensions\GenerativeTraceUI.aip"
".dll","ASMIMPORT230A.dll","1,87","2026-07-03","Support Files\Contents\Windows\ASMIMPORT230A.dll"
".aip","UserInterface.aip","1,77","2026-07-03","Support Files\Required\Plug-ins\UserInterface.aip"
".aip","DeepLearning.aip","1,72","2026-07-03","Plug-ins\Extensions\DeepLearning.aip"
".aip","svgFileFormat.aip","1,71","2026-07-03","Plug-ins\Illustrator Formats\svgFileFormat.aip"
".dll","ASMSBAP230A.dll","1,7","2026-07-03","Support Files\Contents\Windows\ASMSBAP230A.dll"
".aip","TurntableUI.aip","1,68","2026-07-03","Plug-ins\Extensions\TurntableUI.aip"
".dll","git2.dll","1,67","2026-07-03","Support Files\Contents\Windows\git2.dll"
".exe","CRWindowsClientService.exe","1,66","2026-07-03","Support Files\Contents\Windows\CRWindowsClientService.exe"
".dll","ASMCSTR230A.dll","1,61","2026-07-03","Support Files\Contents\Windows\ASMCSTR230A.dll"
".dll","AIRes.dll","1,61","2026-07-03","Support Files\Contents\Windows\System\AIRes.dll"
".aip","Geometry3DUI.aip","1,6","2026-07-03","Plug-ins\Illustrator UI\Geometry3DUI.aip"
".exe","AISafeModeLauncher.exe","1,59","2026-07-03","Support Files\Contents\Windows\AISafeModeLauncher.exe"
".aip","CharParaStyles.aip","1,56","2026-07-03","Plug-ins\Extensions\CharParaStyles.aip"
".dll","ASMNPCH230A.dll","1,55","2026-07-03","Support Files\Contents\Windows\ASMNPCH230A.dll"
".dll","ae_dvascriptui.dll","1,53","2026-07-03","Support Files\Contents\Windows\ae_dvascriptui.dll"
